page,university,institution,code,license,bacType,score
1,جامعة تونس,كلية العلوم الإنسانية والإجتماعية بتونس,10101,الإجازة في العربية,آداب,99.8685
1,جامعة تونس,كلية العلوم الإنسانية والإجتماعية بتونس,10101,الإجازة في العربية,علوم تجريبية,122.105
1,جامعة تونس,كلية العلوم الإنسانية والإجتماعية بتونس,10101,الإجازة في العربية,إقتصاد وتصرف,92.3517
1,جامعة تونس,كلية العلوم الإنسانية والإجتماعية بتونس,10101,الإجازة في العربية,علوم الإعلامية,117.4165
1,جامعة تونس,كلية العلوم الإنسانية والإجتماعية بتونس,10102,الإجازة في الإنقليزية,آداب,104.785
1,جامعة تونس,كلية العلوم الإنسانية والإجتماعية بتونس,10102,الإجازة في الإنقليزية,رياضيات,136.07
1,جامعة تونس,كلية العلوم الإنسانية والإجتماعية بتونس,10102,الإجازة في الإنقليزية,علوم تجريبية,124.25
1,جامعة تونس,كلية العلوم الإنسانية والإجتماعية بتونس,10102,الإجازة في الإنقليزية,إقتصاد وتصرف,81.2024
1,جامعة تونس,كلية العلوم الإنسانية والإجتماعية بتونس,10102,الإجازة في الإنقليزية,العلوم التقنية,127.633
1,جامعة تونس,كلية العلوم الإنسانية والإجتماعية بتونس,10102,الإجازة في الإنقليزية,علوم الإعلامية,131.5298
1,جامعة تونس,كلية العلوم الإنسانية والإجتماعية بتونس,10102,الإجازة في الإنقليزية,رياضة,147.625
1,جامعة تونس,كلية العلوم الإنسانية والإجتماعية بتونس,10103,الإجازة في الفرنسية,آداب,68.2249
1,جامعة تونس,كلية العلوم الإنسانية والإجتماعية بتونس,10103,الإجازة في الفرنسية,علوم تجريبية,122.0512
1,جامعة تونس,كلية العلوم الإنسانية والإجتماعية بتونس,10103,الإجازة في الفرنسية,إقتصاد وتصرف,82.26
1,جامعة تونس,كلية العلوم الإنسانية والإجتماعية بتونس,10103,الإجازة في الفرنسية,العلوم التقنية,100.7692
1,جامعة تونس,كلية العلوم الإنسانية والإجتماعية بتونس,10103,الإجازة في الفرنسية,علوم الإعلامية,120.485
1,جامعة تونس,كلية العلوم الإنسانية والإجتماعية بتونس,10103,الإجازة في الفرنسية,رياضة,113.6502
1,جامعة تونس,كلية العلوم الإنسانية والإجتماعية بتونس,10120,الإجازة في عـلــم الاجتماع,آداب,109.8569
1,جامعة تونس,كلية العلوم الإنسانية والإجتماعية بتونس,10120,الإجازة في عـلــم الاجتماع,رياضيات,107.4029
1,جامعة تونس,كلية العلوم الإنسانية والإجتماعية بتونس,10120,الإجازة في عـلــم الاجتماع,علوم تجريبية,98.9185
1,جامعة تونس,كلية العلوم الإنسانية والإجتماعية بتونس,10120,الإجازة في عـلــم الاجتماع,إقتصاد وتصرف,86.0208
1,جامعة تونس,كلية العلوم الإنسانية والإجتماعية بتونس,10120,الإجازة في عـلــم الاجتماع,العلوم التقنية,125.6501
1,جامعة تونس,كلية العلوم الإنسانية والإجتماعية بتونس,10121,الإجازة في علم النـفـــس,آداب,123.985
1,جامعة تونس,كلية العلوم الإنسانية والإجتماعية بتونس,10121,الإجازة في علم النـفـــس,رياضيات,159.315
1,جامعة تونس,كلية العلوم الإنسانية والإجتماعية بتونس,10121,الإجازة في علم النـفـــس,علوم تجريبية,127.165
1,جامعة تونس,كلية العلوم الإنسانية والإجتماعية بتونس,10121,الإجازة في علم النـفـــس,إقتصاد وتصرف,122.28
1,جامعة تونس,كلية العلوم الإنسانية والإجتماعية بتونس,10121,الإجازة في علم النـفـــس,العلوم التقنية,126.165
1,جامعة تونس,كلية العلوم الإنسانية والإجتماعية بتونس,10121,الإجازة في علم النـفـــس,علوم الإعلامية,130.54
1,جامعة تونس,كلية العلوم الإنسانية والإجتماعية بتونس,10121,الإجازة في علم النـفـــس,رياضة,187.575
