code,institution,specialty,degree,بادآ,تايضاير,ةيبيرجت مولع,ةيملعلا مولع,ةينقتلا مولعلا,فرصتو داصتقإ,ةضاير
10101,"ﻛﻠﻴﺔ ﺍﻟﻌﻠﻮﻡ ﺍﻹﻧﺴﺎﻧﻴﺔ ﻭﺍﻹﺟﺘﻤﺎﻋﻴﺔ ﺑﺘﻮﻧﺲ)ﺟﺎﻣﻌﺔ ﺗﻮﻧﺲ(","ﺍﻟﻠﻐﺔ ﻭﺍﻵﺩﺍﺏ ﻭﺍﻟﺤﻀﺎﺭﺓ ﺍﻟﻌﺮﺑﻴﺔ-","ﺍﻹﺟﺎﺯﺓ ﻓﻲ ﺍﻟﻌﺮﺑﻴﺔ ﺳﻨﻮﺍﺕ)ﺃﻣﺪ(3",78,1,1,1,,30,
10102,"ﻛﻠﻴﺔ ﺍﻟﻌﻠﻮﻡ ﺍﻹﻧﺴﺎﻧﻴﺔ ﻭﺍﻹﺟﺘﻤﺎﻋﻴﺔ ﺑﺘﻮﻧﺲ)ﺟﺎﻣﻌﺔ ﺗﻮﻧﺲ(","ﺍﻟﻠﻐﺔ ﻭﺍﻵﺩﺍﺏ ﻭﺍﻟﺤﻀﺎﺭﺓ ﺍﻹﻧﻘﻠﻴﺰﻳﺔ-","ﺍﻹﺟﺎﺯﺓ ﻓﻲ ﺍﻹﻧﻘﻠﻴﺰﻳﺔ ﺳﻨﻮﺍﺕ)ﺃﻣﺪ(3",133,1,1,2,2,70,2
10103,"ﻛﻠﻴﺔ ﺍﻟﻌﻠﻮﻡ ﺍﻹﻧﺴﺎﻧﻴﺔ ﻭﺍﻹﺟﺘﻤﺎﻋﻴﺔ ﺑﺘﻮﻧﺲ)ﺟﺎﻣﻌﺔ ﺗﻮﻧﺲ(","ﺍﻟﻮﺳﺎﻃﺔ ﺍﻟﺜﻘﺎﻓﻴﺔ- ﺍﻟﻠﻐﺔ ﻭﺍﻵﺩﺍﺏ ﻭﺍﻟﺤﻀﺎﺭﺓ ﺍﻟﻔﺮﻧﺴﻴﺔ-","ﺍﻹﺟﺎﺯﺓ ﻓﻲ ﺍﻟﻔﺮﻧﺴﻴﺔ ﺳﻨﻮﺍﺕ)ﺃﻣﺪ(3",140,1,1,2,2,50,2
10104,"ﻛﻠﻴﺔ ﺍﻵﺩﺍﺏ ﻭﺍﻟﻔﻨﻮﻥ ﻭﺍﻹﻧﺴﺎﻧﻴﺎﺕ ﺑﻤﻨﻮﺑﺔ)ﺟﺎﻣﻌﺔ ﻣﻨﻮﺑﺔ(","ﺍﻟﻠﻐﺔ ﻭ ﺍﻵﺩﺍﺏ ﻭ ﺍﻟﺤﻀﺎﺭﺓ ﺍﻻﺳﺒﺎﻧﻴﺔ-","ﺍﻹﺟﺎﺯﺓ ﻓﻲ ﺍﻹﺳﺒﺎﻧﻴﺔ ﺳﻨﻮﺍﺕ)ﺃﻣﺪ(3 ﺇﺳﺒﺎﻧﻴﺔ ﺇﺟﺒﺎﺭﻳﺔ",37,1,1,1,1,9,1
10105,"ﻛﻠﻴﺔ ﺍﻵﺩﺍﺏ ﻭﺍﻟﻔﻨﻮﻥ ﻭﺍﻹﻧﺴﺎﻧﻴﺎﺕ ﺑﻤﻨﻮﺑﺔ)ﺟﺎﻣﻌﺔ ﻣﻨﻮﺑﺔ(","ﺍﻟﻠﻐﺔ ﻭﺍﻵﺩﺍﺏ ﻭﺍﻟﺤﻀﺎﺭﺓ ﺍﻹﻳﻄﺎﻟﻴﺔ-","ﺍﻹﺟﺎﺯﺓ ﻓﻲ ﺍﻹﻳﻄﺎﻟﻴﺔ ﺳﻨﻮﺍﺕ)ﺃﻣﺪ(3 ﺇﻳﻄﺎﻟﻴﺔ ﺇﺟﺒﺎﺭﻳﺔ",38,1,1,1,1,9,1
10106,"ﻛﻠﻴﺔ ﺍﻵﺩﺍﺏ ﻭﺍﻟﻔﻨﻮﻥ ﻭﺍﻹﻧﺴﺎﻧﻴﺎﺕ ﺑﻤﻨﻮﺑﺔ)ﺟﺎﻣﻌﺔ ﻣﻨﻮﺑﺔ(","ﺍﻟﻠﻐﺔ ﻭﺍﻵﺩﺍﺏ ﻭﺍﻟﺤﻀﺎﺭﺓ ﺍﻷﻟﻤﺎﻧﻴﺔ-","ﺍﻹﺟﺎﺯﺓ ﻓﻲ ﺍﻷﻟﻤﺎﻧﻴﺔ ﺳﻨﻮﺍﺕ)ﺃﻣﺪ(3 ﺃﻟﻤﺎﻧﻴﺔ ﺇﺟﺒﺎﺭﻳﺔ",28,1,1,1,1,11,1
10107,"ﺍﻟﻤﻌﻬﺪ ﺍﻟﻌﺎﻟﻲ ﻟﻠﻐﺎﺕ ﺑﺘﻮﻧﺲ)ﺟﺎﻣﻌﺔ ﻗﺮﻃﺎﺝ(","15 ﺍﻟﻠﻐﺔ ﻭ ﺍﻟﺘﺮﺟﻤﺔ ﻭﺍﻟﺘﻮﺍﺻﻞ ﺑﻴﻦ ﺍﻟﺜﻘﺎﻓﺎﺕ-","ﺍﻹﺟﺎﺯﺓ ﻓﻲ ﺍﻟﺮﻭﺳﻴﺔ ﺳﻨﻮﺍﺕ)ﺃﻣﺪ(3",37,1,1,2,2,8,2
10108,"ﺍﻟﻤﻌﻬﺪ ﺍﻟﻌﺎﻟﻲ ﻟﻠﻐﺎﺕ ﺑﺘﻮﻧﺲ)ﺟﺎﻣﻌﺔ ﻗﺮﻃﺎﺝ(","ﺍﻟﻠﻐﺔ ﻭﺍﻵﺩﺍﺏ ﻭﺍﻟﺤﻀﺎﺭﺓ ﺍﻟﺼﻴﻨﻴﺔ-","ﺍﻹﺟﺎﺯﺓ ﻓﻲ ﺍﻟﺼﻴﻨﻴﺔ ﺳﻨﻮﺍﺕ)ﺃﻣﺪ(3",34,1,1,1,1,13,1
10118,"ﺍﻟﻤﻌﻬﺪ ﺍﻟﻌﺎﻟﻲ ﻟﻠﻌﻠﻮﻡ ﺍﻹﻧﺴﺎﻧﻴﺔ ﺑﺘﻮﻧﺲ)ﺟﺎﻣﻌﺔ ﺗﻮﻧﺲ ﺍﻟﻤﻨﺎﺭ(","ﺍﻷﻧﺜﺮﻭﺑﻮﻟﻮﺟﻴﺎ ﺍﻻﺟﺘﻤﺎﻋﻴﺔ ﻭﺍﻟﺜﻘﺎﻓﻴﺔ-","ﺍﻹﺟﺎﺯﺓ ﻓﻲ ﺍﻷﻧﺘﺮﻭﺑﻮﻟﻮﺟﻴﺎ ﺳﻨﻮﺍﺕ)ﺃﻣﺪ(3",20,1,1,1,1,20,1
10119,"ﺍﻟﻤﻌﻬﺪ ﺍﻟﻌﺎﻟﻲ ﻟﻠﻌﻠﻮﻡ ﺍﻹﻧﺴﺎﻧﻴﺔ ﺑﺘﻮﻧﺲ)ﺟﺎﻣﻌﺔ ﺗﻮﻧﺲ ﺍﻟﻤﻨﺎﺭ(","ﻟﻐﺔ ﺍﻹﺷﺎﺭﺍﺕ-","ﺍﻹﺟﺎﺯﺓ ﻓﻲ ﻟﻐﺔ ﺍﻹﺷﺎﺭﺍﺕ ﺳﻨﻮﺍﺕ)ﺃﻣﺪ(3",9,1,11,1,1,15,1
